Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference
1,white,e2e4,31.2,e4,28.1,3.099999999999998
1,white,g1f3,34.1,Nf3,29.75,4.350000000000001
1,white,f1b5,33.0,Ng5,-209.55,242.55
1,white,g5f3,-22.0,Bb5,-232.25,210.25
1,white,g5f3,32.1,Bxc6,-17.2,49.3
1,white,g5e6,681.2,Bxd7+,368.35,312.85
1,white,g5f3,71.2,Nh3,23.05,48.150000000000006
1,white,h3g1,-4.2,Nf4,-235.9,231.7
1,white,f4d5,45.6,Nh3,-29.6,75.2
1,white,d2d3,10.5,Ng5,-268.0,278.5
1,white,g5f3,28.2,Nf7,-243.3,271.5
1,white,f7d6,185.7,Nxh8,-233.25,418.95
1,white,e1f2,341.3,Rg1,-197.45,538.75
1,white,d1e2,231.5,Rh1,-263.95,495.45
1,white,d1h5,341.5,Rg1,-211.75,553.25
1,white,e1f2,244.2,Qh5+,263.15,-18.94999999999999
1,white,d2d3,177.9,Qe8+,-280.05,457.9500000000001
1,white,d2d3,-731.7,Rh1,-893.5,161.79999999999995
1,white,a2b3,-374.5,Rg1,9817.3,-10191.8
1,white,a2b3,109.3,Nc3,-496.6,605.9
1,white,a2b3,-149.8,Nd5,-549.4,399.6
1,white,a2b3,270.3,Ne7,2690.95,-2420.6499999999996
1,white,a2b3,-63.6,g4,-498.75,435.15
1,white,a2b3,80.7,Rxh1,-425.75,506.45
1,white,a2b3,172.8,Ng6+,134.8,38.0
1,white,a2b3,228.7,Nxe5,-404.3,633.0
1,white,a2b3,163.9,Nxd7,-308.25,472.15
1,white,a2b3,593.5,Rg1,-201.85,795.35
1,white,c2b3,539.8,Rg3,-238.55,778.3499999999999
1,white,a2b3,569.0,Rb1,-168.3,737.3
1,white,b2a3,532.5,Rh3,-214.4,746.9
1,white,c1b2,579.3,Rg3,-220.5,799.8
1,white,c1b2,515.7,a3,-266.85,782.5500000000001
1,white,c1b2,535.8,Rh3,-199.3,735.0999999999999
1,white,b1a1,615.0,d3,-206.65,821.65
1,white,b1a1,543.4,Rxh6,-275.5,818.9
1,white,h6g6,717.7,Rh8+,-25.45,743.1500000000001
1,white,g4f5,-796.5,Bf4,-954.4,157.89999999999998
1,white,f4e5,-667.4,Bxe5,-660.15,-7.25
1,white,b1b8,-665.3,d4,-687.75,22.450000000000045
1,white,g4f5,-540.3,h4,-599.85,59.55000000000007
1,white,b1b4,-737.5,Rb8+,-727.1,-10.399999999999975
1,white,e4e5,-905.0,Rh8,-914.1,9.100000000000025
1,white,h8g8,-825.8,Rh7+,-836.9,11.100000000000025
1,white,h7h5,-893.2,Rxh4,-915.8,22.59999999999991
1,white,h4h7,-645.0,Rh5,-747.65,102.64999999999998
1,white,h5f5,-519.6,Rg5,8698.65,-9218.25
1,white,g5f5,-422.8,Rg7+,-767.4,344.59999999999997
1,white,e1e2,20008.1,d5,18959.1,1049.0
1,white,e4e5,11402.8,d6,13590.45,-2187.6500000000015
2,white,e2e4,32.4,e4,29.8,2.599999999999998
2,white,g1f3,28.7,Nf3,28.4,0.3000000000000007
2,white,f1b5,28.5,Ng5,-214.95,243.45
2,white,f1c4,34.1,Bb5,-30.7,64.8
2,white,d2d3,-58.7,Bxc6,-245.75,187.05
2,white,g5f7,187.2,Bxd7+,100.35,86.85
2,white,g5f3,17.8,Nf3,16.45,1.3500000000000014
2,white,d2d3,59.6,Ng5,-266.35,325.95000000000005
2,white,g5e6,454.0,Nh3,58.75,395.25
2,white,b1c3,-49.1,Nf4,-330.6,281.5
2,white,f4e6,154.1,Nh5,-262.65,416.75
2,white,e4f5,-361.9,Nxg7+,-444.4,82.5
2,white,g7e6,240.0,Ne8,-205.95,445.95
2,white,e4f5,-424.9,Nxc7,-429.95,5.050000000000011
2,white,c7e6,227.8,Ne8,-177.15,404.9500000000001
2,white,g2g3,-431.6,b3,-590.3,158.69999999999993
2,white,g2g3,-477.4,Ng7,-568.35,90.95000000000005
2,white,g7f5,-201.3,Ne6,-357.95,156.64999999999998
2,white,e6d8,443.5,Nf8,4948.85,-4505.35
2,white,g2g3,-617.6,Rg1,-830.95,213.35
2,white,c1a3,-595.9,Qf3,-865.35,269.45000000000005
2,white,f3g3,-730.7,Qh5,-908.35,177.64999999999998
2,white,h5f5,-688.5,Qh7+,-796.3,107.79999999999995
2,white,g1f1,-1223.7,Qg7,9389.15,-10612.85
2,white,g1f1,-921.6,Qh8+,9542.85,-10464.45
2,white,h8h5,-974.4,Qh5+,-957.6,-16.799999999999955
2,white,g1g2,-951.7,Qh8+,9528.0,-10479.7
2,white,g1f1,-1171.5,Qg8,9415.25,-10586.75
2,white,g1f1,-1203.3,Qxc8,9399.35,-10602.65
2,white,c8c7,427.5,Qf8+,-124.15,551.65
2,white,g1g4,-667.2,Rxg4,-664.0,-3.2000000000000455
2,white,g4g3,2.4,Rxg6,-108.35,110.75
2,white,g6f6,914.3,Rg8+,226.8,687.5
2,white,g8g1,395.2,Rh8,204.7,190.5
2,white,d2e3,695.7,Rxh7+,504.95,190.75000000000009
2,white,d2e3,316.1,d4,-173.9,490.0
2,white,c1g5,-622.4,Bd2,-641.25,18.850000000000023
2,white,d2e3,427.3,Bc3,-55.15,482.45
2,white,f2e3,254.6,Bxe5,146.05,108.54999999999998
2,white,e5f6,386.1,Bd4,-176.9,563.0
2,white,d4e3,-134.3,Bh8,-442.95,308.65
2,white,b1a3,-601.1,Bd4,-718.7,117.60000000000002
2,white,e1f1,-23.7,Ke2,-344.25,320.55
2,white,e2f1,388.3,Bh8,3889.1,-3500.7999999999997
2,white,e2f1,375.9,Bd4,-118.55,494.45
2,white,b1d2,10.4,Bh8,-197.55,207.95
2,white,h2g3,406.6,Bd4,-134.15,540.75
2,white,d4g1,455.8,Bh8,-130.45,586.25
2,white,b1c3,-510.8,Bd4,-538.75,27.94999999999999
2,white,e2f1,-580.2,Kf1,-582.0,1.7999999999999543
3,white,e2e4,31.7,e4,32.25,-0.5500000000000007
3,white,g1f3,29.6,Nf3,30.1,-0.5
3,white,f1c4,14.9,Nxe5,-139.15,154.05
3,white,d2d4,-301.7,Nc3,-302.15,0.4499999999999886
3,white,d1f3,252.8,Qxf3,259.3,-6.5
3,white,f1c4,320.8,Qxf7+,-127.15,447.9500000000001
3,white,f1c4,-586.1,Nd5,-609.1,23.0
3,white,d5e7,-662.3,Nxe7,-660.5,-1.7999999999999543
3,white,e7c8,-503.6,Rg1,-627.0,123.39999999999998
3,white,g2g4,-929.3,Rh1,-934.15,4.850000000000023
3,white,d2d3,-715.5,Rg1,-790.7,75.20000000000005
3,white,d2d3,-742.5,Rh1,-826.25,83.75
3,white,d2d4,-681.5,Rg1,-780.25,98.75
3,white,d2d3,-752.0,Rh1,-858.15,106.14999999999998
3,white,f1e2,-712.2,Rg1,-773.75,61.549999999999955
3,white,d2d3,-736.4,Rh1,-818.1,81.70000000000005
3,white,d2d3,-709.5,Rg1,-782.95,73.45000000000005
4,white,e2e4,31.4,e4,31.1,0.2999999999999971
4,white,g1f3,33.2,Nf3,32.15,1.0500000000000045
4,white,f1b5,27.1,Nxe5,-134.2,161.29999999999998
4,white,e5c6,569.8,Nc4,395.9,173.89999999999998
4,white,b1a3,565.9,Nxe3,399.25,166.64999999999998
4,white,h2h4,545.6,Nf5,334.35,211.25
4,white,d2d4,423.8,Nxe7,287.15,136.65000000000003
4,white,b1a3,532.3,Bc4,99.85,432.44999999999993
4,white,c4f1,51.6,Bxf7+,-130.8,182.4
4,white,g2g3,-334.9,Rg1,-364.0,29.100000000000023
4,white,h2g3,262.2,Qh5+,-266.4,528.5999999999999
4,white,f2g3,-880.6,Nc3,-871.2,-9.399999999999975
4,white,f2g3,-735.1,Nd5,-811.45,76.35000000000002
4,white,h2h3,-948.8,Ne7,-974.35,25.550000000000068
4,white,e7f5,-858.7,Ng8,-944.2,85.5
4,white,d2d4,-1035.7,Rh1,-1123.75,88.04999999999995
4,white,h1g1,-1096.5,Rb1,9453.75,-10550.25
4,white,h1g1,-1093.8,Ra1,9455.1,-10548.9
4,white,h1g1,-1101.2,Rb1,9452.9,-10554.1
4,white,e1e2,-668.4,Kxe2,-672.65,4.25
4,white,d2d3,-654.8,Ke1,-704.8,50.0
4,white,h2g3,-217.2,Rg1,-446.35,229.15000000000003
4,white,h2g3,-303.9,h4,-510.25,206.35
4,white,f2g3,-433.9,Rh1,-555.5,121.60000000000002
4,white,h4h5,-635.5,Rh3,-658.15,22.649999999999977
4,white,h3f3,-666.9,Rg3,-700.95,34.05000000000007
4,white,g3f3,-624.7,Rg5,-654.35,29.649999999999977
4,white,h4h5,-603.5,Rxg6,-680.35,76.85000000000002
4,white,g6g5,-402.7,Rxg7+,-525.8,123.09999999999997
4,white,g7g5,-175.3,Rg8+,-429.05,253.75
4,white,g8h8,502.3,Rxh8,504.7,-2.3999999999999773
4,white,d2d3,628.3,Rg8,239.0,389.2999999999999
4,white,c1d2,389.3,Ke2,377.2,12.100000000000025
4,white,g8a8,733.6,e5,370.75,362.85
4,white,g8e8,720.8,a3,360.65,360.15
4,white,g8g3,457.8,g3,249.45,208.35
4,white,g8g4,444.6,Rh8,385.65,58.950000000000045
4,white,e5f6,855.6,Rxh7+,849.45,6.149999999999977
4,white,h7g7,798.8,Rh8,755.5,43.299999999999955
4,white,e2f2,902.6,Kd3,664.6,238.0
4,white,h8h6,733.6,Rg8+,557.7,175.89999999999998
4,white,g8d8,432.3,Rh8+,248.45,183.85
4,white,h8h6,736.5,Rxh6+,730.35,6.149999999999977
4,white,h6f6,888.0,g4+,797.55,90.45000000000005
4,white,h6h5,700.3,c3,592.65,107.64999999999998
4,white,h6h5,740.3,Rd6,374.8,365.49999999999994
4,white,d6d7,559.2,Rd5+,279.9,279.30000000000007
4,white,c1g5,698.8,Rd4,674.3,24.5
4,white,c1g5,923.5,Rd7,830.1,93.39999999999998
4,white,c1g5,866.1,Rd8,833.45,32.64999999999998
5,white,e2e4,30.9,e4,30.35,0.5499999999999972
5,white,g1f3,29.6,Nf3,27.2,2.400000000000002
5,white,f1b5,28.8,Nxe5,-132.7,161.5
5,white,d2d4,-298.0,Nc3,-300.9,2.8999999999999773
5,white,b2a3,215.6,f3,-34.35,249.95
5,white,b2a3,184.9,b3,-95.05,279.95
5,white,c1a3,219.4,Nxb5,-69.2,288.6
